iter	Passed	Remaining
0	60	60861
1	61	30622
2	61	20535
3	62	15491
4	62	12454
5	62	10428
6	63	8983
7	63	7901
8	64	7068
9	64	6413
10	65	5863
11	65	5420
12	66	5030
13	66	4691
14	66	4399
15	67	4141
16	67	3915
17	68	3713
18	68	3532
19	68	3369
20	69	3222
21	69	3088
22	69	2966
23	70	2855
24	70	2756
25	71	2665
26	71	2580
27	71	2498
28	72	2422
29	72	2352
30	73	2285
31	73	2224
32	73	2167
33	74	2114
34	74	2062
35	75	2012
36	75	1965
37	75	1920
38	76	1880
39	76	1840
40	77	1802
41	77	1765
42	77	1729
43	78	1697
44	78	1665
45	78	1635
46	79	1606
47	79	1581
48	80	1555
49	80	1534
50	81	1512
51	81	1487
52	81	1464
53	82	1443
54	82	1422
55	83	1403
56	83	1386
57	84	1368
58	84	1350
59	85	1334
60	85	1319
61	86	1303
62	86	1288
63	87	1273
64	87	1261
65	88	1247
66	88	1232
67	88	1218
68	89	1205
69	89	1191
70	90	1178
71	90	1165
72	90	1152
73	91	1140
74	91	1128
75	91	1116
76	92	1104
77	92	1094
78	92	1083
79	93	1072
80	93	1062
81	93	1052
82	94	1040
83	94	1030
84	94	1021
85	95	1012
86	95	1003
87	96	995
88	96	988
89	96	980
90	97	974
91	98	968
92	98	960
93	98	954
94	99	946
95	99	939
96	100	931
97	100	925
98	100	918
99	101	912
100	101	905
101	102	899
102	102	893
103	102	887
104	103	881
105	103	875
106	104	869
107	104	863
108	104	858
109	105	852
110	105	847
111	106	841
112	106	836
113	106	831
114	107	830
115	108	825
116	108	819
117	109	815
118	109	810
119	109	805
120	110	800
121	110	795
122	110	790
123	111	786
124	111	782
125	112	778
126	112	773
127	112	769
128	113	765
129	113	762
130	114	757
131	114	753
132	115	749
133	115	745
134	115	741
135	116	738
136	116	734
137	116	730
138	117	727
139	117	723
140	118	720
141	118	715
142	118	712
143	119	708
144	119	705
145	120	702
146	120	699
147	120	696
148	121	693
149	121	689
150	122	686
151	122	683
152	122	680
153	123	677
154	123	674
155	124	671
156	124	668
157	124	665
158	125	662
159	125	659
160	125	656
161	126	653
162	126	651
163	127	649
164	127	646
165	128	643
166	128	641
167	128	638
168	129	636
169	129	633
170	130	630
171	130	628
172	131	626
173	131	623
174	131	621
175	132	619
176	132	616
177	133	614
178	133	612
179	133	609
180	134	607
181	134	605
182	135	602
183	135	600
184	135	598
185	136	596
186	136	594
187	137	591
188	137	589
189	137	587
190	138	585
191	138	583
192	139	581
193	139	579
194	139	577
195	140	575
196	140	573
197	141	571
198	141	569
199	141	567
200	142	565
201	142	564
202	143	562
203	143	560
204	144	558
205	144	557
206	144	555
207	145	553
208	145	551
209	146	550
210	146	548
211	147	546
212	147	544
213	147	542
214	148	541
215	148	539
216	149	537
217	149	535
218	149	534
219	150	532
220	150	531
221	151	530
222	151	529
223	152	527
224	152	525
225	152	523
226	153	522
227	153	520
228	154	519
229	154	517
230	155	516
231	155	514
232	155	513
233	156	511
234	156	510
235	157	508
236	157	507
237	157	505
238	158	504
239	158	503
240	159	501
241	159	500
242	160	498
243	160	497
244	161	496
245	161	494
246	161	493
247	162	491
248	162	490
249	163	489
250	163	487
251	163	486
252	164	485
253	164	483
254	165	482
255	165	481
256	166	479
257	166	478
258	166	477
259	167	475
260	167	474
261	167	473
262	168	471
263	168	470
264	169	469
265	169	468
266	170	466
267	170	465
268	171	464
269	171	463
270	171	462
271	172	461
272	172	459
273	173	458
274	173	457
275	173	456
276	174	454
277	174	453
278	175	452
279	175	451
280	176	450
281	176	449
282	177	448
283	177	447
284	177	446
285	178	445
286	178	444
287	179	443
288	179	441
289	180	440
290	180	440
291	181	439
292	181	437
293	181	436
294	182	435
295	182	434
296	183	433
297	183	432
298	183	430
299	184	429
300	184	428
301	184	427
302	185	426
303	185	425
304	186	424
305	186	423
306	187	422
307	187	421
308	187	420
309	188	419
310	188	418
311	189	417
312	189	415
313	189	414
314	190	413
315	190	412
316	191	411
317	191	410
318	192	409
319	192	409
320	193	408
321	193	407
322	193	406
323	194	405
324	194	404
325	195	403
326	195	402
327	196	401
328	196	400
329	196	399
330	197	398
331	197	397
332	198	396
333	198	395
334	198	394
335	199	393
336	199	392
337	200	391
338	200	390
339	200	389
340	201	389
341	201	388
342	202	386
343	202	386
344	202	385
345	203	384
346	203	383
347	204	382
348	204	381
349	204	380
350	205	379
351	206	380
352	206	379
353	207	378
354	207	377
355	208	376
356	208	375
357	209	374
358	209	373
359	209	373
360	210	372
361	210	371
362	211	370
363	211	370
364	212	369
365	212	368
366	213	367
367	213	366
368	213	365
369	214	364
370	214	364
371	215	363
372	215	362
373	215	361
374	216	360
375	216	359
376	217	359
377	217	358
378	218	357
379	218	356
380	219	355
381	219	355
382	219	354
383	220	353
384	220	352
385	221	351
386	221	351
387	222	350
388	222	349
389	223	348
390	223	348
391	223	347
392	224	346
393	224	345
394	225	344
395	225	343
396	225	343
397	226	342
398	226	341
399	227	340
400	227	339
401	228	339
402	228	338
403	228	337
404	229	337
405	230	336
406	230	336
407	231	335
408	231	334
409	231	333
410	232	332
411	232	332
412	233	331
413	233	330
414	234	329
415	234	329
416	234	328
417	235	327
418	235	326
419	235	325
420	236	325
421	236	324
422	237	323
423	237	322
424	238	322
425	238	321
426	239	320
427	239	320
428	240	319
429	240	318
430	240	318
431	241	317
432	241	316
433	242	315
434	242	315
435	242	314
436	243	313
437	243	312
438	244	312
439	244	311
440	245	310
441	245	309
442	245	309
443	246	308
444	246	307
445	247	307
446	247	306
447	248	305
448	248	305
449	249	304
450	249	303
451	249	302
452	250	302
453	250	301
454	251	300
455	251	299
456	251	299
457	252	298
458	252	297
459	253	297
460	253	296
461	253	295
462	254	295
463	254	294
464	255	293
465	255	292
466	256	292
467	256	291
468	256	290
469	257	290
470	257	289
471	258	288
472	258	288
473	258	287
474	259	286
475	259	285
476	259	285
477	260	284
478	260	283
479	261	282
480	261	282
481	261	281
482	262	280
483	262	280
484	263	279
485	263	278
486	263	278
487	264	277
488	264	276
489	265	275
490	265	275
491	265	274
492	266	273
493	266	273
494	267	272
495	267	271
496	267	271
497	268	270
498	268	269
499	269	269
500	269	268
501	270	267
502	270	267
503	270	266
504	271	266
505	271	265
506	272	264
507	272	264
508	273	263
509	273	262
510	274	262
511	274	261
512	274	260
513	275	260
514	276	260
515	276	259
516	277	258
517	277	258
518	277	257
519	278	256
520	278	256
521	279	255
522	279	254
523	279	254
524	280	253
525	281	253
526	281	252
527	281	251
528	282	251
529	282	250
530	282	249
531	283	249
532	283	248
533	284	247
534	284	247
535	285	246
536	285	246
537	285	245
538	286	244
539	286	244
540	287	243
541	287	243
542	288	242
543	288	241
544	289	241
545	289	240
546	289	240
547	290	239
548	290	238
549	291	238
550	291	237
551	291	236
552	292	236
553	292	235
554	293	234
555	293	234
556	293	233
557	294	233
558	294	232
559	295	231
560	295	231
561	296	230
562	296	230
563	296	229
564	297	228
565	297	228
566	298	227
567	298	226
568	298	226
569	299	225
570	299	225
571	300	224
572	300	224
573	301	223
574	301	222
575	301	222
576	302	221
577	302	221
578	303	220
579	303	219
580	304	219
581	304	218
582	305	218
583	305	217
584	306	217
585	306	216
586	306	215
587	307	215
588	307	214
589	308	214
590	308	213
591	309	213
592	309	212
593	310	211
594	310	211
595	310	210
596	311	210
597	311	209
598	312	208
599	312	208
600	312	207
601	313	207
602	313	206
603	314	205
604	314	205
605	314	204
606	315	204
607	315	203
608	316	203
609	316	202
610	317	201
611	317	201
612	318	200
613	318	200
614	318	199
615	319	198
616	319	198
617	320	197
618	320	197
619	320	196
620	321	196
621	321	195
622	322	194
623	322	194
624	322	193
625	323	193
626	323	192
627	324	192
628	324	191
629	325	190
630	325	190
631	325	189
632	326	189
633	326	188
634	327	188
635	328	187
636	328	187
637	329	186
638	329	186
639	329	185
640	330	185
641	330	184
642	331	183
643	331	183
644	331	182
645	332	182
646	332	181
647	333	180
648	333	180
649	333	179
650	334	179
651	334	178
652	335	178
653	335	177
654	336	177
655	336	176
656	337	175
657	337	175
658	337	174
659	338	174
660	338	173
661	339	173
662	339	172
663	340	172
664	341	171
665	341	171
666	341	170
667	342	170
668	342	169
669	343	169
670	343	168
671	344	167
672	344	167
673	344	166
674	345	166
675	345	165
676	345	164
677	346	164
678	346	163
679	347	163
680	347	162
681	347	162
682	348	161
683	348	161
684	349	160
685	349	159
686	349	159
687	350	158
688	350	158
689	351	157
690	351	157
691	352	156
692	352	156
693	352	155
694	353	155
695	353	154
696	354	153
697	354	153
698	355	152
699	355	152
700	355	151
701	356	151
702	356	150
703	357	150
704	357	149
705	357	149
706	358	148
707	358	147
708	359	147
709	359	146
710	359	146
711	360	145
712	360	145
713	361	144
714	361	144
715	361	143
716	362	142
717	362	142
718	363	141
719	363	141
720	364	140
721	364	140
722	365	139
723	365	139
724	365	138
725	366	138
726	366	137
727	367	137
728	367	136
729	367	136
730	368	135
731	368	134
732	369	134
733	369	133
734	369	133
735	370	132
736	370	132
737	371	131
738	371	131
739	371	130
740	372	130
741	372	129
742	373	129
743	373	128
744	373	128
745	374	127
746	374	126
747	375	126
748	375	125
749	376	125
750	376	124
751	377	124
752	377	123
753	377	123
754	378	122
755	378	122
756	379	121
757	379	121
758	379	120
759	380	120
760	380	119
761	381	119
762	382	118
763	382	118
764	382	117
765	383	117
766	384	116
767	384	116
768	385	115
769	385	115
770	386	114
771	386	114
772	387	113
773	387	113
774	387	112
775	388	112
776	388	111
777	389	111
778	389	110
779	389	109
780	390	109
781	390	108
782	391	108
783	391	107
784	392	107
785	392	106
786	392	106
787	393	105
788	393	105
789	394	104
790	394	104
791	395	103
792	395	103
793	396	102
794	396	102
795	397	101
796	397	101
797	398	100
798	398	100
799	398	99
800	399	99
801	399	98
802	400	98
803	400	97
804	400	97
805	401	96
806	401	96
807	402	95
808	402	95
809	403	94
810	403	94
811	403	93
812	404	92
813	404	92
814	405	91
815	405	91
816	405	90
817	406	90
818	406	89
819	407	89
820	407	88
821	407	88
822	408	87
823	408	87
824	409	86
825	409	86
826	410	85
827	410	85
828	410	84
829	411	84
830	411	83
831	412	83
832	412	82
833	413	82
834	413	81
835	413	81
836	414	80
837	414	80
838	414	79
839	415	79
840	415	78
841	416	78
842	416	77
843	416	77
844	417	76
845	417	76
846	418	75
847	418	75
848	418	74
849	419	73
850	419	73
851	420	72
852	420	72
853	420	71
854	421	71
855	421	70
856	421	70
857	422	69
858	422	69
859	423	68
860	423	68
861	423	67
862	424	67
863	424	66
864	424	66
865	425	65
866	425	65
867	426	64
868	426	64
869	427	63
870	427	63
871	427	62
872	428	62
873	428	61
874	429	61
875	429	60
876	430	60
877	430	59
878	430	59
879	431	58
880	431	58
881	432	57
882	432	57
883	432	56
884	433	56
885	433	55
886	434	55
887	434	54
888	434	54
889	435	53
890	435	53
891	435	52
892	436	52
893	436	51
894	437	51
895	437	50
896	437	50
897	438	49
898	438	49
899	439	48
900	439	48
901	440	47
902	440	47
903	440	46
904	441	46
905	441	45
906	442	45
907	442	44
908	442	44
909	443	43
910	443	43
911	444	42
912	444	42
913	444	41
914	445	41
915	445	40
916	446	40
917	446	39
918	446	39
919	447	38
920	447	38
921	447	37
922	448	37
923	448	36
924	449	36
925	449	35
926	450	35
927	450	34
928	450	34
929	451	33
930	451	33
931	452	32
932	452	32
933	452	31
934	453	31
935	453	31
936	454	30
937	454	30
938	454	29
939	455	29
940	455	28
941	456	28
942	456	27
943	457	27
944	457	26
945	458	26
946	458	25
947	458	25
948	459	24
949	459	24
950	460	23
951	460	23
952	461	22
953	461	22
954	462	21
955	462	21
956	462	20
957	463	20
958	463	19
959	464	19
960	464	18
961	464	18
962	465	17
963	465	17
964	466	16
965	466	16
966	466	15
967	467	15
968	467	14
969	468	14
970	468	14
971	469	13
972	469	13
973	470	12
974	470	12
975	470	11
976	471	11
977	471	10
978	472	10
979	472	9
980	473	9
981	473	8
982	473	8
983	474	7
984	474	7
985	475	6
986	475	6
987	476	5
988	476	5
989	477	4
990	477	4
991	477	3
992	478	3
993	478	2
994	479	2
995	479	1
996	480	1
997	480	0
998	480	0
999	481	0
